name,location,adname,address,type,rating,catering,accommodation,mall,store,superMarket,personal_items,residence,business,hospital,school,bus,parking,metro,GDP,country_income,country_consume,urban_income,urban_consume,population
振阳批发超市,"112.372863,34.645092",涧西区,洛阳市涧西区北航路与龙鳞路交叉口北150米,超级市场,3.5 ,25,2,0,6,5,0,5,1,0,0,3,2,0,73.228,13023,9607,25431,16032,45.2557
锦仁百货超市(西工店),"112.443145,34.663437",西工区,洛阳市西工区九都路58号,超级市场,3.5 ,215,25,2,25,8,5,25,2,13,1,10,22,2,133.9005,15701,14909,38783,26889,36.21
雅美超市,"112.444825,34.59942",洛龙区,洛阳市洛龙区通济街与香山路交叉口南150米,超级市场,3.5 ,75,7,0,9,4,6,9,0,1,0,4,0,1,172.4,14086,14312,33971,23477,38.69
文兴便利超市,"112.442382,34.657963",西工区,洛阳市西工区春园西路文兴阳光水岸商业三楼,超级市场,3.5 ,163,15,1,25,12,3,22,1,2,0,4,6,1,133.9005,15701,14909,38783,26889,36.21
永强超市,"112.549251,34.639721",洛龙区,洛阳市洛龙区同安中街北100米,超级市场,3.5 ,0,0,0,0,1,0,0,0,0,0,0,0,0,172.4,14086,14312,33971,23477,38.69
万年佳乐琦超市,"112.515139,34.667374",洛龙区,洛阳市洛龙区东西正街与南北大街交叉口西北50米,超级市场,3.5 ,0,0,0,2,1,0,0,0,1,0,0,0,0,172.4,14086,14312,33971,23477,38.69
金口岸生活超市(车站店),"112.433084,34.685001",西工区,洛阳市西工区道南路锦远汽车站西隔壁衡达地标负1楼,超级市场,3.5 ,218,150,2,25,14,3,25,2,5,2,21,15,2,133.9005,15701,14909,38783,26889,36.21
佳佳乐超市,"112.526184,34.672215",洛龙区,洛阳市洛龙区向齐路与洛岳路交叉口西260米,超级市场,3.5 ,25,4,0,15,3,1,0,0,0,0,5,0,0,172.4,14086,14312,33971,23477,38.69
合利兴超市,"112.406415,34.603997",洛龙区,洛阳市洛龙区开元路街道龙腾B区经七路,超级市场,3.5 ,50,23,0,10,5,0,5,1,2,0,5,5,0,172.4,14086,14312,33971,23477,38.69
广瑞超市,"112.351656,34.666663",涧西区,洛阳市涧西区秦岭路西50米,超级市场,3.5 ,25,0,0,11,1,0,7,0,2,0,4,3,0,73.228,13023,9607,25431,16032,45.2557
盛宜和生鲜超市,"112.42726,34.653914",西工区,洛阳市西工区涧东路49号东南80米,超级市场,3.5 ,50,9,0,10,7,3,25,8,3,0,0,14,0,133.9005,15701,14909,38783,26889,36.21
丹尼斯超市(汉华商贸李城店),"112.518607,34.685885",瀍河回族区,洛阳市瀍河回族区中州中路4号恒大绿洲8栋101-102号,大型知名商超,3.5 ,50,3,0,6,8,1,1,0,1,0,2,2,1,82.7693,11128,9140,25222.11,13646.73,18.84
王豪超市,"112.524115,34.650391",洛龙区,洛阳市洛龙区东环路183号附近,超级市场,3.5 ,100,5,1,5,7,1,1,0,0,0,4,0,0,172.4,14086,14312,33971,23477,38.69
丹尼斯超市(汉口路),"112.362407,34.663959",涧西区,洛阳市涧西区中一街与南华商业街交叉口西南50米,大型知名商超,3.5 ,125,8,1,16,15,5,18,1,10,3,5,5,1,73.228,13023,9607,25431,16032,45.2557
元润超市,"112.39872,34.600065",洛龙区,洛阳市洛龙区宇文凯街与洛宜路交叉口东南100米,超级市场,3.5 ,50,11,0,5,8,0,8,2,3,0,5,0,0,172.4,14086,14312,33971,23477,38.69
怡丹超市,"112.521693,34.626288",洛龙区,洛阳市洛龙区中路与正街交叉口东150米,超级市场,3.5 ,2,1,0,3,1,0,0,0,0,0,6,0,0,172.4,14086,14312,33971,23477,38.69
芳方便民副食,"112.433084,34.675263",西工区,洛阳市西工区健康东路42号,超级市场,3.5 ,448,25,4,25,11,14,50,17,12,2,22,25,2,133.9005,15701,14909,38783,26889,36.21
绿色健康环保超市,"112.37465,34.611579",涧西区,洛阳市涧西区丰华路10号附近,超级市场,3.5 ,100,5,0,10,6,1,11,2,3,4,9,3,0,73.228,13023,9607,25431,16032,45.2557
龙飞超市,"112.524512,34.672372",洛龙区,洛阳市洛龙区洛岳路北50米,超级市场,3.5 ,25,3,0,14,3,1,0,0,0,0,4,0,0,172.4,14086,14312,33971,23477,38.69
东周量贩(扁担赵店),"112.548514,34.710371",洛龙区,洛阳市洛龙区310国道与G55二广高速出口交叉口西北50米,超级市场,3.5 ,16,2,0,3,1,0,1,0,0,0,1,0,0,172.4,14086,14312,33971,23477,38.69
惠民生鲜,"112.424092,34.673423",西工区,洛阳市西工区汉康路,超级市场,3.5 ,145,75,1,14,5,4,25,6,8,1,8,8,1,133.9005,15701,14909,38783,26889,36.21
会玲超市,"112.526404,34.634294",洛龙区,洛阳市洛龙区李城路东50米,超级市场,3.5 ,11,0,0,3,4,0,0,0,0,0,2,0,0,172.4,14086,14312,33971,23477,38.69
一帆超市,"112.386506,34.694926",西工区,洛阳市西工区汉宫路与龙翔大道交叉口西北50米,超级市场,3.2 ,50,6,0,19,8,2,0,0,0,0,2,0,0,133.9005,15701,14909,38783,26889,36.21
玉轩超市,"112.526035,34.630999",洛龙区,洛阳市洛龙区李城路275号附近,超级市场,3.5 ,12,0,0,6,5,0,0,0,0,0,2,0,0,172.4,14086,14312,33971,23477,38.69
名优电池超市,"112.441639,34.677625",西工区,洛阳市西工区金谷园路39号附近,超级市场,3.5 ,149,20,3,23,6,5,25,4,21,0,14,14,3,133.9005,15701,14909,38783,26889,36.21
震东超市,"112.467977,34.624059",洛龙区,洛阳市洛龙区定鼎门街公务员小区B区A段4号门面,超级市场,3.5 ,100,10,1,6,5,4,7,1,4,1,10,16,0,172.4,14086,14312,33971,23477,38.69
君来超市,"112.425491,34.678247",西工区,洛阳市西工区纱厂西路33号附近,超级市场,3.5 ,124,11,0,13,7,5,25,4,10,2,9,16,1,133.9005,15701,14909,38783,26889,36.21
家和平超市,"112.426649,34.677658",西工区,洛阳市西工区纱厂西路23号南90米,超级市场,3.5 ,144,15,0,13,8,5,25,6,12,2,14,20,1,133.9005,15701,14909,38783,26889,36.21
牡丹超市,"112.418429,34.676129",西工区,洛阳市西工区健康西路与兴旺路交叉口北150米,超级市场,3.5 ,142,25,1,23,7,4,25,2,7,0,6,16,0,133.9005,15701,14909,38783,26889,36.21
好又多超市(吉庆路店),"112.583145,34.62194",洛龙区,洛阳市洛龙区吉庆路吉庆嘉苑二组团附近,超级市场,3.5 ,25,0,1,6,7,2,3,0,1,0,6,0,0,172.4,14086,14312,33971,23477,38.69
磊诺超市,"112.406967,34.662096",涧西区,洛阳市涧西区太原路34号洛铜34街坊北门,超级市场,3.5 ,210,8,0,24,4,5,25,2,8,1,7,14,2,73.228,13023,9607,25431,16032,45.2557
孝和超市,"112.449907,34.647955",洛龙区,洛阳市洛龙区唐聂三街与唐聂十二街交叉口西南50米,超级市场,3.5 ,21,6,0,4,2,0,0,0,0,0,6,3,1,172.4,14086,14312,33971,23477,38.69
九都校区教育超市,"112.413796,34.649576",涧西区,洛阳市涧西区理工学院九都校区校园内,超级市场,3.5 ,337,25,0,25,6,7,25,2,6,2,13,10,0,73.228,13023,9607,25431,16032,45.2557
奈月超市,"112.415348,34.648087",涧西区,洛阳市涧西区丽春路18号2-13,超级市场,3.5 ,293,17,0,22,7,4,25,1,5,2,8,6,0,73.228,13023,9607,25431,16032,45.2557
二虎超市,"112.453885,34.676885",西工区,洛阳市西工区中州中路211北60米,超级市场,3.5 ,245,17,2,18,5,9,25,7,10,2,9,23,2,133.9005,15701,14909,38783,26889,36.21
君鑫超市,"112.369872,34.586559",洛龙区,洛阳市洛龙区文仲大道与洛宜快速通道交叉口东100米,超级市场,3.5 ,0,0,0,0,1,0,2,0,0,0,7,0,0,172.4,14086,14312,33971,23477,38.69
芳语便利店,"112.451091,34.600748",洛龙区,洛阳市洛龙区盛世新天地1层2-03号(永泰街与香山路交叉口西北角),超级市场,3.5 ,25,9,0,9,4,1,7,0,2,0,8,4,2,172.4,14086,14312,33971,23477,38.69
健康便利店(豫北二路店),"112.397606,34.662547",涧西区,洛阳市涧西区河南科技大学第一附属医院外科楼西,便利店,3.5 ,249,25,3,25,6,4,25,4,22,4,12,25,1,73.228,13023,9607,25431,16032,45.2557
鑫升超市,"112.438514,34.684923",西工区,洛阳市西工区一运汽车站售票厅对面向阳旅馆东第二家,超级市场,3.5 ,180,50,0,25,15,3,25,4,11,0,24,17,2,133.9005,15701,14909,38783,26889,36.21
丹尼斯超市(润泉店),"112.456799,34.613356",洛龙区,洛阳市洛龙区泉舜润泉院北门,大型知名商超,4.0 ,226,50,3,9,7,5,9,3,5,0,19,16,1,172.4,14086,14312,33971,23477,38.69
惠万家便利超市,"112.397198,34.63592",涧西区,洛阳市涧西区周山路附近,便利店,2.3 ,75,3,0,15,3,0,17,0,1,0,6,7,0,73.228,13023,9607,25431,16032,45.2557
富缘超市,"112.455234,34.677305",西工区,洛阳市西工区中州中路与宫隅路交叉口西50米,超级市场,3.5 ,162,12,0,16,5,6,25,5,12,1,13,19,1,133.9005,15701,14909,38783,26889,36.21
绿之韵生态MALL超市,"112.417983,34.681975",西工区,洛阳市西工区五女冢路2号A5附近,超级市场,3.5 ,74,9,0,17,6,4,24,0,3,0,0,11,0,133.9005,15701,14909,38783,26889,36.21
大千超市,"112.459638,34.674632",西工区,洛阳市西工区凯旋东路9号院附近,超级市场,3.5 ,123,16,0,24,4,3,25,3,7,0,11,16,1,133.9005,15701,14909,38783,26889,36.21
珍食惠,"112.506451,34.572351",洛龙区,洛阳市洛龙区320省道南50米,超级市场,3.5 ,9,2,0,2,4,1,0,0,0,0,3,2,0,172.4,14086,14312,33971,23477,38.69
惠客隆生活超市,"112.466382,34.656698",洛龙区,洛阳市洛龙区隋唐路安乐窝居民小区南区,超级市场,3.5 ,50,21,1,15,7,2,16,0,4,1,8,4,0,172.4,14086,14312,33971,23477,38.69
睿智超市,"112.404488,34.672322",涧西区,洛阳市涧西区嵩山路13号附近,超级市场,3.5 ,122,4,0,12,6,3,15,0,4,0,3,1,0,73.228,13023,9607,25431,16032,45.2557
百孝乐购,"112.404645,34.672587",涧西区,洛阳市涧西区嵩山路13号附近,超级市场,3.5 ,128,4,0,12,7,5,17,0,5,0,3,1,0,73.228,13023,9607,25431,16032,45.2557
桃姐家超市,"112.431135,34.688371",老城区,洛阳市老城区春都路196号附近,超级市场,3.5 ,50,50,2,25,9,2,21,1,1,2,21,9,2,24.5864,9810,6523,24597,15443,17.6587
新大韩超市(春都店),"112.430275,34.689421",老城区,洛阳市老城区春都路208附近,超级市场,3.5 ,25,21,1,20,4,1,24,0,1,2,12,6,2,24.5864,9810,6523,24597,15443,17.6587
DH大韩超市,"112.430431,34.689341",老城区,洛阳市老城区春都路花荣广场一层东大跨,超级市场,3.5 ,25,25,1,22,5,2,24,0,1,2,14,6,2,24.5864,9810,6523,24597,15443,17.6587
豫享购智慧生活,"112.401902,34.656195",涧西区,洛阳市涧西区西苑路4号金源国际A座3楼,超级市场,3.5 ,307,50,4,22,2,9,25,6,11,3,12,25,2,73.228,13023,9607,25431,16032,45.2557
郑欧进口商品,"112.466951,34.656931",洛龙区,洛阳市洛龙区龙门大道与滨河南路交叉口三百米路西,超级市场,3.5 ,75,25,1,18,7,2,17,0,4,1,9,4,0,172.4,14086,14312,33971,23477,38.69
翔莲生活超市,"112.400378,34.665721",涧西区,洛阳市涧西区建设路瑞泰嘉苑门口,超级市场,3.5 ,167,8,0,18,6,4,25,2,8,3,6,7,0,73.228,13023,9607,25431,16032,45.2557
吉庆一家人超市,"112.582401,34.619622",洛龙区,洛阳市洛龙区李村镇吉庆路洛阳市第八中学东400米,超级市场,3.5 ,25,0,1,7,8,2,4,0,1,0,5,0,0,172.4,14086,14312,33971,23477,38.69
五谷食材超市,"112.402237,34.649004",涧西区,洛阳市涧西区银川路17附近,超级市场,3.5 ,260,50,2,16,5,7,25,7,14,4,15,17,1,73.228,13023,9607,25431,16032,45.2557
康庄综合超市,"112.553311,34.618752",洛龙区,洛阳市洛龙区诸葛镇,超级市场,3.5 ,1,0,0,0,2,0,0,0,0,0,1,0,0,172.4,14086,14312,33971,23477,38.69
微尔玛未来集市,"112.456414,34.688919",老城区,洛阳市老城区春都路53号南70米,超级市场,3.5 ,113,11,1,22,5,2,25,1,3,1,8,4,0,24.5864,9810,6523,24597,15443,17.6587
丹尼斯超市(汉华商贸名苑店),"112.375012,34.67293",涧西区,洛阳市涧西区建设路与郑州路交叉口南100米,大型知名商超,4.0 ,100,6,1,15,5,0,14,1,2,0,9,5,1,73.228,13023,9607,25431,16032,45.2557
好日子,"112.467035,34.678754",老城区,洛阳市老城区黄梅路38号附近,超级市场,3.5 ,224,25,0,25,9,6,25,0,17,1,8,15,2,24.5864,9810,6523,24597,15443,17.6587
智优生活超市(亚秀店),"112.421601,34.694206",西工区,洛阳市西工区王城大道178号亚秀丽都3号商铺南起第六间,超级市场,3.5 ,50,7,1,16,5,0,12,0,2,0,2,9,1,133.9005,15701,14909,38783,26889,36.21
赵丽菊百货,"112.469025,34.683647",老城区,洛阳市老城区环城西路58号,超级市场,3.5 ,246,50,0,25,9,13,50,0,14,0,10,14,1,24.5864,9810,6523,24597,15443,17.6587
平价超市,"112.395648,34.665359",涧西区,洛阳市涧西区中州西路105号附近,超级市场,3.5 ,190,17,1,19,5,4,25,2,9,0,6,18,0,73.228,13023,9607,25431,16032,45.2557
绿色生活超市,"112.432129,34.695492",老城区,洛阳市老城区状元红路5号附近,超级市场,3.5 ,99,4,0,14,3,1,8,0,3,1,11,0,1,24.5864,9810,6523,24597,15443,17.6587
腾达批发超市,"112.392392,34.668316",涧西区,洛阳市涧西区建设路118附近,超级市场,3.5 ,125,14,0,12,9,0,25,3,3,0,8,10,0,73.228,13023,9607,25431,16032,45.2557
爱来客超市,"112.581124,34.617639",洛龙区,洛阳市洛龙区吉庆路吉庆嘉苑一组团底商,超级市场,3.5 ,25,0,1,6,6,2,4,0,1,0,5,0,0,172.4,14086,14312,33971,23477,38.69
阳光便民亭,"112.396705,34.65199",涧西区,洛阳市涧西区吉安南街1号附近,超级市场,3.5 ,186,19,0,24,7,6,25,3,10,4,8,15,1,73.228,13023,9607,25431,16032,45.2557
雪琴超市,"112.400277,34.680328",涧西区,洛阳市涧西区芳华路6号附近,超级市场,3.5 ,118,12,1,25,10,1,17,0,1,3,6,8,0,73.228,13023,9607,25431,16032,45.2557
嘉和超市,"112.583174,34.617675",洛龙区,洛阳市洛龙区李村镇二号小区杨湾街,超级市场,3.5 ,25,0,1,6,7,2,4,0,1,0,5,0,0,172.4,14086,14312,33971,23477,38.69
多好生活超市,"112.412282,34.634607",涧西区,洛阳市涧西区南苑路237号附近,超级市场,3.5 ,109,7,0,16,7,1,20,1,7,0,14,21,0,73.228,13023,9607,25431,16032,45.2557
好学生便利店,"112.419673,34.692082",西工区,洛阳市西工区石油路6号,超级市场,3.5 ,25,6,1,7,5,0,13,1,0,0,3,7,1,133.9005,15701,14909,38783,26889,36.21
每日鲜厨生鲜超市,"112.462395,34.690893",老城区,洛阳市老城区春都路24号附近,超级市场,3.5 ,100,14,0,13,6,5,20,0,1,1,6,5,0,24.5864,9810,6523,24597,15443,17.6587
果汇居生鲜,"112.411119,34.694349",西工区,洛阳市西工区鹏翔小区177号商铺,超级市场,3.5 ,25,3,0,8,5,0,5,0,2,0,3,0,0,133.9005,15701,14909,38783,26889,36.21
冠烁生鲜超市,"112.425284,34.627655",洛龙区,洛阳市洛龙区古城路376号河洛文化村2号楼商铺,超级市场,3.5 ,141,25,0,11,5,1,14,0,8,0,10,13,0,172.4,14086,14312,33971,23477,38.69
颢曦百货超市,"112.436172,34.626042",洛龙区,洛阳市洛龙区五环街漫咖啡隔壁胡同,超级市场,3.5 ,50,10,0,5,3,0,6,3,3,1,9,21,1,172.4,14086,14312,33971,23477,38.69
分购生活超市,"112.418666,34.696506",西工区,洛阳市西工区状元红路,超级市场,3.5 ,25,5,0,10,3,0,10,0,3,0,0,10,1,133.9005,15701,14909,38783,26889,36.21
源铭水果蔬菜超市,"112.465152,34.692575",老城区,洛阳市老城区春都路4号星辰公馆正门门面房,超级市场,3.5 ,50,6,0,14,8,3,16,0,1,0,7,7,0,24.5864,9810,6523,24597,15443,17.6587
多客超市,"112.474025,34.685583",老城区,洛阳市老城区建安街86附近,超级市场,3.5 ,481,50,6,25,19,24,75,4,25,0,9,24,2,24.5864,9810,6523,24597,15443,17.6587
多发超市,"112.385505,34.670405",涧西区,洛阳市涧西区建设路113号附近,超级市场,3.5 ,119,9,0,15,10,2,25,1,4,0,5,13,0,73.228,13023,9607,25431,16032,45.2557
亿乐源综合超市,"112.3871,34.668407",涧西区,洛阳市涧西区华山路16号附近,超级市场,3.5 ,238,13,3,20,16,8,25,3,5,0,9,14,1,73.228,13023,9607,25431,16032,45.2557
誉和便利店,"112.385221,34.655722",涧西区,洛阳市涧西区联盟路10号院58-1,超级市场,3.5 ,75,9,0,18,2,1,25,4,5,0,9,14,1,73.228,13023,9607,25431,16032,45.2557
鑫旺超市,"112.446763,34.700372",老城区,洛阳市老城区状元红路与经八路北300米悠山郡高层东入口处,超级市场,3.5 ,8,0,0,1,2,0,3,0,0,0,3,0,0,24.5864,9810,6523,24597,15443,17.6587
大胖生鲜超市,"112.472906,34.687233",老城区,洛阳市老城区唐宫东路188号,超级市场,3.5 ,314,25,2,25,14,14,50,1,15,0,16,16,2,24.5864,9810,6523,24597,15443,17.6587
海瑞超市,"112.466174,34.692551",老城区,洛阳市老城区春都路建华园2号,超级市场,3.5 ,50,4,0,12,8,3,14,0,0,0,7,7,0,24.5864,9810,6523,24597,15443,17.6587
慧利超市,"112.388207,34.669016",涧西区,洛阳市涧西区华山路10附近,超级市场,3.5 ,179,14,1,18,11,1,25,3,5,0,7,13,0,73.228,13023,9607,25431,16032,45.2557
哥林多超市,"112.474463,34.685227",老城区,洛阳市老城区义勇东街58附近,超级市场,3.5 ,540,50,7,25,20,25,75,4,25,0,7,24,2,24.5864,9810,6523,24597,15443,17.6587
悦隆超市,"112.480193,34.67512",老城区,洛阳市老城区菜市东街,超级市场,3.5 ,50,14,1,21,2,3,17,1,2,0,7,20,0,24.5864,9810,6523,24597,15443,17.6587
冰冰超市,"112.411097,34.701144",西工区,洛阳市西工区经三路,超级市场,3.5 ,118,7,0,18,7,5,5,0,3,0,2,7,1,133.9005,15701,14909,38783,26889,36.21
非凡2500,"112.468221,34.693216",老城区,洛阳市老城区春都路龙光路交叉口东60米,超级市场,3.5 ,75,2,0,14,7,2,10,0,1,0,10,7,0,24.5864,9810,6523,24597,15443,17.6587
青刚超市,"112.401726,34.69336",西工区,洛阳市西工区汉宫路北50米,超级市场,3.5 ,25,0,0,6,4,0,4,1,2,0,4,3,0,133.9005,15701,14909,38783,26889,36.21
搜乐环保超市,"112.479025,34.680537",老城区,洛阳市老城区三复街与农校街交叉口西北50米,超级市场,3.5 ,291,25,10,15,4,11,19,4,12,0,7,23,2,24.5864,9810,6523,24597,15443,17.6587
丰雷烟酒,"112.403781,34.629488",涧西区,洛阳市涧西区河洛路鸿都路口,超级市场,3.5 ,134,15,0,22,5,3,24,3,2,0,7,13,0,73.228,13023,9607,25431,16032,45.2557
清水湾生活超市,"112.415998,34.702426",西工区,洛阳市西工区魏紫路171-10,超级市场,3.5 ,110,5,0,14,3,4,6,0,2,4,4,6,2,133.9005,15701,14909,38783,26889,36.21
丹尼斯,"112.464468,34.627834",洛龙区,洛阳市洛龙区宜人路与广利街交叉口北100米,大型知名商超,4.0 ,100,10,1,10,9,4,7,1,3,1,9,10,0,172.4,14086,14312,33971,23477,38.69
惠宜佳生活超市,"112.400166,34.695189",西工区,洛阳市西工区汉宫路,超级市场,3.5 ,25,2,0,7,4,0,5,1,2,0,7,6,0,133.9005,15701,14909,38783,26889,36.21
红元超市,"112.461206,34.699744",老城区,洛阳市老城区下清宫对面,超级市场,3.5 ,25,0,0,3,1,0,1,0,0,0,0,2,0,24.5864,9810,6523,24597,15443,17.6587
美宜鲜超市,"112.404631,34.62918",涧西区,洛阳市涧西区鸿都路与河洛路交叉口,超级市场,3.5 ,122,15,0,18,5,3,25,3,3,0,6,15,0,73.228,13023,9607,25431,16032,45.2557
欣隆超市,"112.278958,34.565024",涧西区,洛阳市涧西区323省道北50米,超级市场,3.5 ,7,1,0,0,1,1,0,0,0,0,4,0,0,73.228,13023,9607,25431,16032,45.2557
百福堂团购超市,"112.47885,34.686853",老城区,洛阳市老城区北大街99号,超级市场,3.5 ,617,25,9,25,13,25,75,5,25,1,13,25,2,24.5864,9810,6523,24597,15443,17.6587
王娜超市,"112.472375,34.693798",老城区,洛阳市老城区春都路黄家沟3-19号门面房,超级市场,3.5 ,119,4,1,19,7,4,16,0,5,0,13,5,0,24.5864,9810,6523,24597,15443,17.6587
原祁百货超市,"112.474892,34.634173",洛龙区,洛阳市洛龙区安乐镇赵村5组504号,超级市场,3.5 ,25,14,0,13,5,0,0,0,0,0,3,1,0,172.4,14086,14312,33971,23477,38.69
新百慧超市,"112.462679,34.627035",洛龙区,洛阳市洛龙区开元路街道宜人路龙泰A区门口,超级市场,3.5 ,125,12,1,11,10,2,8,1,6,1,11,14,0,172.4,14086,14312,33971,23477,38.69
清波超市,"112.379627,34.669921",涧西区,洛阳市涧西区中州西路6-1-3-103号附近,超级市场,3.5 ,164,8,0,21,9,2,21,1,4,0,5,12,1,73.228,13023,9607,25431,16032,45.2557
窜天猴便利店,"112.421678,34.671901",西工区,洛阳市西工区升龙广场C区2号楼1438,超级市场,3.5 ,127,100,1,14,5,4,25,3,7,1,7,9,1,133.9005,15701,14909,38783,26889,36.21
丹尼斯广场,"112.477957,34.68778",老城区,洛阳市老城区北大街与莲花寺街交叉口西南50米,大型知名商超,4.0 ,609,25,9,25,18,25,75,3,25,1,21,25,2,24.5864,9810,6523,24597,15443,17.6587
绵柔杜康廉价超市,"112.48182,34.684973",老城区,洛阳市老城区左安街29号,超级市场,3.5 ,505,50,8,25,9,15,50,3,18,1,13,23,1,24.5864,9810,6523,24597,15443,17.6587
爱便利(蓬莱小区店),"112.379413,34.655295",涧西区,洛阳市涧西区黔川路蓬莱小区物业楼一楼,超级市场,3.5 ,112,10,0,20,5,0,18,1,0,1,9,11,2,73.228,13023,9607,25431,16032,45.2557
凯凯果菜店,"112.397089,34.623974",涧西区,洛阳市涧西区华夏路与瀛洲路交叉口西北150米,超级市场,3.5 ,25,2,0,6,5,0,7,0,0,0,3,3,0,73.228,13023,9607,25431,16032,45.2557
梅齐商城,"112.470456,34.627807",洛龙区,洛阳市洛龙区龙门大道436号帝都国际城9-2-1201,超级市场,3.5 ,100,13,0,10,9,5,8,1,4,1,7,10,0,172.4,14086,14312,33971,23477,38.69
天鑫超市龙泉店,"112.476837,34.695035",老城区,洛阳市老城区瀍河回族区春都东路83号,超级市场,3.5 ,146,7,0,25,6,7,25,1,10,1,20,2,0,24.5864,9810,6523,24597,15443,17.6587
小菜篮副食店,"112.383708,34.642128",涧西区,洛阳市涧西区天津路与九都路交叉口向西一百五十米花千树小区门口,超级市场,3.5 ,25,6,0,14,4,1,7,0,0,1,7,3,0,73.228,13023,9607,25431,16032,45.2557
陇兴超市,"112.477993,34.695486",瀍河回族区,洛阳市瀍河回族区瀍河回族区,超级市场,3.5 ,145,8,0,25,6,6,25,1,10,1,19,2,0,82.7693,11128,9140,25222.11,13646.73,18.84
抖音超市,"112.423407,34.711454",老城区,洛阳市老城区王城大道47号邙山驾校附近,超级市场,3.5 ,25,7,1,3,1,0,1,0,2,0,1,5,1,24.5864,9810,6523,24597,15443,17.6587
日用食品,"112.39482,34.623176",涧西区,洛阳市涧西区侯天路山水富地底商,超级市场,3.5 ,18,3,0,2,5,0,7,0,1,0,4,4,0,73.228,13023,9607,25431,16032,45.2557
鑫欣阳便民超市,"112.395186,34.703559",西工区,洛阳市西工区华山北路西100米,超级市场,3.5 ,50,5,0,5,10,0,2,0,2,0,10,3,0,133.9005,15701,14909,38783,26889,36.21
美福惠便利超市,"112.486668,34.691574",瀍河回族区,洛阳市瀍河回族区瀍河回族区新街与九龙台街交叉口南100米路东,超级市场,3.5 ,125,15,0,25,5,6,25,0,14,3,20,7,1,82.7693,11128,9140,25222.11,13646.73,18.84
佳昌超市,"112.47356,34.62315",洛龙区,洛阳市洛龙区龙门大道475号东北80米,超级市场,3.5 ,206,25,1,25,5,2,8,0,2,0,10,14,0,172.4,14086,14312,33971,23477,38.69
我家楼下超市,"112.450944,34.609321",洛龙区,洛阳市洛龙区永泰街紫金风景线西区底商,超级市场,3.5 ,75,23,1,9,5,2,7,0,2,0,11,15,3,172.4,14086,14312,33971,23477,38.69
绿果生活超市,"112.400769,34.618692",涧西区,洛阳市涧西区河洛路与瀛洲路交叉口东100米,超级市场,3.5 ,12,4,0,4,2,1,10,0,3,0,8,3,0,73.228,13023,9607,25431,16032,45.2557
火锅烧烤食材超市,"112.461075,34.614824",洛龙区,洛阳市洛龙区展览路柠檬电竞馆旁,超级市场,3.5 ,423,100,2,18,14,12,9,7,5,1,14,23,1,172.4,14086,14312,33971,23477,38.69
李红卫百货超市,"112.441214,34.609765",洛龙区,洛阳市洛龙区牡丹大道与望春门街交叉口康城逸树G3,超级市场,3.5 ,50,8,0,15,4,2,11,0,6,13,12,8,1,172.4,14086,14312,33971,23477,38.69
平价奶业,"112.499531,34.650712",洛龙区,洛阳市洛龙区西聂线与菇刘线交叉口东80米,超级市场,3.5 ,16,1,0,5,1,1,0,0,0,0,3,0,0,172.4,14086,14312,33971,23477,38.69
润佳便利超市,"112.382287,34.696499",西工区,洛阳市西工区汉宫路下沟村8组54号,超级市场,3.5 ,50,7,0,13,8,2,0,0,0,0,4,0,0,133.9005,15701,14909,38783,26889,36.21
文萱生活超市,"112.371771,34.684572",涧西区,洛阳市涧西区衡山路21号,超级市场,3.5 ,25,6,0,5,2,1,4,0,0,0,3,0,0,73.228,13023,9607,25431,16032,45.2557
银良副食批发部,"112.466148,34.613641",洛龙区,洛阳市洛龙区牡丹大道148号宝龙批发中心一楼东四街1,超级市场,3.5 ,439,100,2,22,14,11,9,4,1,1,9,25,0,172.4,14086,14312,33971,23477,38.69
芳莉生活超市,"112.393749,34.706344",西工区,洛阳市西工区万众E家小区门口,超级市场,3.5 ,25,4,0,2,7,0,4,0,1,0,10,3,0,133.9005,15701,14909,38783,26889,36.21
喵兑优品,"112.412591,34.609842",洛龙区,洛阳市洛龙区瀛洲路与洛宜路交叉口向东300米路北,超级市场,3.5 ,307,50,0,15,11,7,12,1,1,3,8,3,0,172.4,14086,14312,33971,23477,38.69
鑫盛运超市,"112.367804,34.653833",涧西区,洛阳市涧西区郑州南路君悦蓝庭小区门口北50米,超级市场,3.5 ,21,1,0,2,1,0,12,0,1,2,5,2,0,73.228,13023,9607,25431,16032,45.2557
TITA空间超市,"112.372276,34.642056",涧西区,洛阳市涧西区龙鳞路与277村道交叉口南150米,超级市场,3.5 ,13,1,0,2,3,0,5,1,0,0,3,3,0,73.228,13023,9607,25431,16032,45.2557
万管来超市,"112.481575,34.701853",老城区,洛阳市老城区瀍河回族区北盟路21号附近,超级市场,3.5 ,73,5,0,20,9,1,25,0,4,0,8,0,0,24.5864,9810,6523,24597,15443,17.6587
老田百货,"112.465553,34.61284",洛龙区,洛阳市洛龙区牡丹大道辅路,超级市场,3.5 ,406,75,1,25,12,8,11,2,4,1,9,25,0,172.4,14086,14312,33971,23477,38.69
李村便民超市,"112.462175,34.61097",洛龙区,洛阳市洛龙区李村大路边,超级市场,3.5 ,273,50,0,24,13,3,14,1,10,1,11,24,1,172.4,14086,14312,33971,23477,38.69
